Site,Plot,Tag,Species,Sapflow,Date_2022,DBH_cm_2022,Status_2022,Notes_2022,Date_2023,DBH_cm_2023,Status_2023,Notes_2023,Date_2024,DBH_cm_2024,Status_2024,Notes_2024,Date_2025,DBH_cm_2025,Status_2025,Notes_2025
CRC,TR,317,QUBI,N,3/16/2022,40,LI,,,,,,10/29/2024,39.8,LI,,11/21/2025,40.8,LI,
CRC,TR,318,QUBI,N,3/16/2022,33.3,LI,,,,,,10/29/2024,33.6,LI,,11/21/2025,33.9,LI,
CRC,TR,319,ULRU,N,3/16/2022,33.4,LI,,,,,,10/29/2024,32.1,LI,,11/21/2025,32.3,LI,
CRC,TR,320,ULRU,N,3/16/2022,17.2,LI,,,,,,10/29/2024,17.3,LI,,11/21/2025,17.9,LI,
CRC,TR,321,QUBI,N,3/16/2022,34.4,LI,,,,,,10/29/2024,35.2,LI,,11/21/2025,35.8,LI,
CRC,TR,322,QUBI,N,3/16/2022,12,LI,,,,,,10/29/2024,12.9,LI,,11/21/2025,13.2,LI,
CRC,TR,323,QUBI,N,3/16/2022,15.5,LI,,,,,,10/29/2024,15.9,LI,,11/21/2025,16.9,LI,
CRC,TR,324,,N,3/16/2022,55.4,LI,,,,,,10/29/2024,,,,11/21/2025,58,LI,
CRC,TR,325,QUBI,N,3/16/2022,38.7,LI,,,,,,10/29/2024,39.7,LI,,11/21/2025,40,LI,
CRC,TR,326,QUBI,N,3/16/2022,35.7,LI,2022 Half Dead,,,,,10/29/2024,37.1,LI,,11/21/2025,37.9,LI,
CRC,TR,327,QUBI,N,3/16/2022,53.8,LI,,,,,,10/29/2024,54.7,LI,,11/21/2025,55.2,LI,
CRC,TR,328,,N,3/16/2022,32.7,DS,,,,,,10/29/2024,33.9,DS,,11/21/2025,34.6,LI,
CRC,TR,329,,N,3/16/2022,36.3,LI,,,,,,10/29/2024,35.8,LI,,11/21/2025,36.7,LI,ck spp
CRC,TR,330,,N,3/16/2022,22.1,LI,,,,,,10/29/2024,21.9,LI,,11/21/2025,22,LI,ck spp
CRC,TR,331,,N,,,,,,,,,10/28/2024,,,,11/21/2025,18.1,DS,
CRC,TR,332,,N,3/16/2022,11.3,DS,,,,,,10/29/2024,,DN,,11/21/2025,,DN,
CRC,TR,334,,N,3/16/2022,12.7,DS,,,,,,10/29/2024,,DN,,11/21/2025,,DN,
CRC,TR,335,,N,3/16/2022,18.4,DS,,,,,,10/29/2024,,DS,,11/21/2025,,,
CRC,TR,336,QUBI,N,3/16/2022,32.5,LI,,,,,,10/29/2024,,,,11/21/2025,,,
CRC,TR,337,QUBI,N,3/16/2022,38.7,LI,,,,,,10/29/2024,40.3,LI,,11/21/2025,41.2,LI,
