SITE,PLOT,PORT,S_DATE,S_TIME,END,E_TIME,NOTE
PTR,TR,ALL,1/1/2022,0:00:00,5/13/2022,19:30:00,no data
PTR,UP,ALL,1/1/2022,0:00:00,5/13/2022,14:00:00,no data
PTR,TR,4,5/30/2022,6:00:00,12/31/2025,23:45:00 PM,dead tree
PTR,TR,"1,2,3",10/12/2022,16:15:00,5/9/2025,19:00:00,dormant
,TR,"5,7",10/12/2022,16:15:00,4/7/2023,9:30:00,dormant
PTR,TR,"4,5,6,7",8/11/2022,13:00:00,8/11/2022,16:45:00,no data
PTR,TR,8,1/1/2022,0:00:00,12/31/2025,23:45:00 PM,dead tree
PTR,UP,4,5/13/2022,14:00:00,8/11/2022,17:00:00,wrong pattern
PTR,UP,2,6/14/2022,13:45:00,6/16/2022,18:30:00,
PTR,UP,"1,3",6/15/2022,12:45:00,6/16/2022,18:30:00,
PTR,UP,"1,2,3",8/11/2022,13:15:00,8/11/2022,17:00:00,no data
PTR,UP,"1,2,3",7/14/2022,21:30:00,7/18/2022,19:00:00,
PTR,UP,"1,4",11/27/2022,2:30:00,5/25/2023,12:15:00,dormant
PTR,UP,"5,6,7,8",5/13/2022,14:00:00,5/25/2022,19:00:00,
PTR,UP,"5,6,8",6/16/2022,10:30:30,6/16/2022,18:30:00,no data
PTR,UP,7,6/16/2022,10:30:30,8/11/2022,17:00:00,wrong pattern
PTR,UP,"5,6,8",7/18/2022,8:00:00,8/11/2022,17:00:00,wrong pattern
PTR,UP,"5,8",10/25/2022,23:15:00,5/3/2023,15:00:00,dormant
PTR,UP,"6,7",12/5/2022,18:30:00,1/31/2023,15:45:00,dormant
PTR,UP,ALL,3/8/2023,23:45:00,3/23/2023,14:00:00,no data
,,,,,,,2023: TR regular pattern starts 2023-05-09 19:00:00
,,,,,,,2023: UP regular pattern starts 2023-05-09 06:15:00
PTR,UP,"1,2,3",7/10/2023,10:00:00,7/28/2023,12:45:00,wrong pattern
PTR,UP,"4,5,6,7,8",7/27/2023,10:15:00,7/28/2023,12:45:00,no data
PTR,UP,"4,6",9/3/2023,5:45:00,9/29/2023,9:30:00,4 off; 6 wrong pattern
PTR,UP,5,9/3/2023,5:45:00,1/15/2024,23:00:00,wrong pattern
PTR,UP,3,9/6/2023,9:15:00,,,no data
PTR,UP,4,10/24/2023,15:45:00,4/11/2024,14:45:00,wrong pattern
PTR,UP,1,10/27/2023,13:15:00,4/25/2024,15:00:00,dormant
PTR,UP,2,10/27/2023,13:15:00,,,dormant
PTR,UP,8,10/23/2023,14:00:00,4/27/2024,19:15:00,dormant
PTR,UP,"6,7",12/25/2023,14:45:00,2/6/2024,13:15:00,dormant
PTR,TR,"1,2,3",3/9/2023,0:00:00,3/23/2023,13:45:00,no data
PTR,TR,"1,3",6/16/2023,23:00:00,6/29/2023,12:45:00,wrong pattern
PTR,TR,2,6/16/2023,23:00:00,7/7/2023,15:00:00,wrong pattern
PTR,TR,"1,3",7/7/2023,10:45:00,7/7/2023,15:00:00,no data
PTR,TR,"1,2,3",10/26/2023,5:45:00,2024-04-48,19:15:00,dormant
PTR,TR,"5,6,7",10/27/2023,19:00:00,4/29/2024,18:45:00,dormant
PTR,TR,3,10/8/2024,14:15:00,,,dormant
PTR,TR,2,10/12/2024,5:15:00,,,dormant
PTR,TR,1,10/25/2024,18:15:00,,,dormant
PTR,TR,7,6/12/2024,5:30:00,,,wrong pattern
PTR,TR,5,10/23/2024,20:30:00,,,dormant
PTR,TR,6,11/8/2024,11:30:00,,,dormant
PTR,UP,2,3/22/2024,6:00:00,,,no data
PTR,UP,1,5/4/2024,1:30:00,,,wrong pattern
PTR,UP,4,6/19/2024,14:30:00,6/19/2024,14:45:00,wrong pattern
PTR,UP,4,10/14/2024,16:00:00,,,no data
PTR,UP,8,8/7/2024,9:15:00,,,no data
PTR,UP,7,10/12/2024,19:30:00,,,dormant
PTR,UP,6,11/6/2024,15:00:00,,,dormant
OWC,UP,"1,2,3,4",1/1/2022,0:00:00,3/31/2022,11:15:00,dormant
OWC,UP,"1,2,3,4",4/6/2022,10:15:00,4/6/2022,10:45:00,
,,,,,,,2022 UP: regular pattern starts 2022-05-12 17:45:00
OWC,UP,3,10/29/2022,11:45:00,5/9/2023,18:45:00,dormant
OWC,UP,1,11/6/2022,2:30:00,4/6/2023,3:00:00,dormant
OWC,UP,2,11/6/2022,2:30:00,4/11/2023,10:45:00,dormant
OWC,UP,4,11/6/2022,2:30:00,5/10/2023,19:30:00,dormant
OWC,UP,"7,8",1/1/2022,0:00:00,4/1/2022,13:30:00,dormant
OWC,UP,"5,6",1/1/2022,0:00:00,5/10/2022,18:45:00,dormant
OWC,UP,"5,6,8",10/26/2022,14:15:00,5/9/2023,22:30:00,dormant
OWC,UP,7,10/26/2022,14:15:00,4/7/2023,8:30:00,dormant
,,,,,,,2023 UP: regular pattern starts 2023-05-10 19:30:00
OWC,UP,"1,2,3,4,5,6,7,8",6/11/2023,9:45:00,6/14/2023,10:00:00,no data
OWC,UP,"4,6",6/22/2023,12:00:00,7/25/2023,10:00:00,wrong pattern
OWC,UP,1,6/24/2023,6:30:00,6/24/2023,7:00:00,outliers
OWC,UP,1,8/11/2023,22:00:00,12/31/2024,23:45:00,no data
OWC,UP,"2,3",11/8/2023,18:30:00,1/11/2024,15:45:00,dormant
,,4,11/16/2023,8:30:00,12/31/2024,23:45:00,no data (NOT dormant)
OWC,UP,5,6/22/2023,12:00:00,12/31/2024,23:45:00,wrong pattern
OWC,UP,6,11/7/2024,20:15:00,4/27/2024,17:15:00,dormant
OWC,UP,"7,8",11/7/2023,20:15:00,5/5/2024,17:15:00,dormant
OWC,UP,"2,3",1/11/2024,15:45:00,12/31/2024,23:45:00,wrong pattern
,,,,,,,2024 UP: regular pattern starts 2024-05-08 06:45:00
OWC,UP,7,10/31/2024,21:00:00,,,dormant
,,6,11/6/2024,15:15:00,,,dormant
,,8,11/5/2024,23:45:00,,,dormant
OWC,TR,"1,2,3,4",1/1/2022,0:00:00,4/27/2022,3:30:00,dormant
,,,,,,,2022 TR: regular pattern after 2022-05-12 11:30
OWC,TR,"1,2,3,4,5,6,7,8",6/14/2022,2:45:00,6/28/2022,12:45:00,wrong pattern
OWC,TR,"1,2,3,4,5,6,7,8",7/13/2022,16:00:00,7/21/2022,11:15:00,no data
OWC,TR,1,9/6/2022,21:45:00,6/7/2023,11:00:00,no data
OWC,TR,"2,3",10/27/2022,2:45:00,4/24/2023,10:30:00,dormant
OWC,TR,4,11/11/2022,7:15:00,3/28/2023,6:00:00,dormant
OWC,TR,"6,7",1/1/2022,0:00:00,5/8/2022,11:30:00,dormant
OWC,TR,5,1/1/2022,0:00:00,5/12/2022,11:30:00,dormant
OWC,TR,8,1/1/2022,0:00:00,5/11/2022,18:30:00,dormant
OWC,TR,8,10/30/2022,12:00:00,5/15/2023,13:45:00,dormant
OWC,TR,5,11/11/2022,3:45:00,3/25/2023,16:15:00,dormant
OWC,TR,6,11/11/2022,3:45:00,12/15/2022,17:45:00,dormant
OWC,TR,7,11/11/2022,3:45:00,2/7/2023,16:30:00,dormant
,,,,,,,2023 TR: regular pattern after 2023-05-10 07:45 (except 8)
OWC,TR,"1,2,3,4",6/11/2023,10:00:00,6/14/2023,10:00:00,no data
OWC,TR,"1,2,3",8/18/2023,15:30:00,10/5/2023,12:45:00,wrong pattern
OWC,TR,4,11/3/2023,16:45:00,2/29/2024,1:45:00,dormant
OWC,TR,3,11/8/2023,17:00:00,5/5/2024,7:45:00,dormant
OWC,TR,2,11/10/2023,5:00:00,5/5/2024,9:45:00,dormant
OWC,TR,1,11/23/2023,22:45:00,2/29/2024,1:45:00,dormant
OWC,TR,6,12/15/2022,17:45:00,,,no data
OWC,TR,8,5/15/2023,13:45:00,,,no data
OWC,TR,5,5/23/2023,0:15:00,6/7/2023,12:30:00,no data
OWC,TR,"5,7",6/11/2023,10:00:00,6/14/2023,10:00:00,no data
OWC,TR,"5,7",11/23/2023,19:45:00,3/10/2024,6:45:00,dormant
,,,,,,,2024 TR: regular pattern after 2023-05-05 09:45
OWC,TR,"1,2,3",9/15/2024,2:15:00,10/16/2024,12:00:00,wrong pattern
OWC,TR,4,10/9/2024,11:45:00,10/16/2024,12:00:00,no data
OWC,TR,2,10/26/2024,12:30:00,,,dormant
OWC,TR,3,10/31/2024,4:00:00,,,dormant
OWC,TR,1,11/3/2024,8:00:00,,,dormant
OWC,TR,4,11/3/2024,19:00:00,11/13/2024,11:45:00,dormant
OWC,TR,4,11/13/2024,11:45:00,,,no data
OWC,TR,5,10/9/2024,11:45:00,10/16/2024,12:00:00,no data
OWC,TR,7,10/9/2024,11:45:00,10/13/2024,4:45:00,no data
OWC,TR,7,10/13/2024,4:45:00,,,wrong pattern
OWC,TR,5,11/13/2024,11:45:00,,,no data
,,,,,,,
GCW,TR,"1,2,3",4/26/2023,0:00:00,6/1/2023,23:00:00,sensor SF1 is bad
GCW,TR,"1,2,3,7,8",7/16/2025,0:00:00,8/7/2025,23:00:00,bad sensor
GCW,TR,"4,5,6",5/11/2026,0:00:00,7/9/2026,23:00:00,bad sensor
GWI,UP,"1,2,3,4,5,6,7,8",6/3/2023,19:45:00,6/22/2023,19:45:00,power
GWI,TR,"1,2,3,4,5,6,7,8",6/3/2023,19:45:00,6/22/2023,19:45:00,power
GWI,UP,1,11/3/2023,0:00:00,6/22/2023,19:45:00,
GWI,UP,"1,2,3",1/5/2024,0:00:00,6/23/2024,19:45:00,
GWI,UP,"1,2,3,4,5,6,7,8",1/26/2024,0:00:00,4/23/2024,23:00:00,
GWI,UP,"4,5,6",10/13/2025,0:00:00,6/11/2025,23:00:00,
MSM,UP,"1,2,3,4,5,6,7,8",9/19/2023,0:00:00,9/19/2023,23:00:00,power
MSM,TR,"1,2,3,4,5,6,7,8",9/19/2023,0:00:00,9/19/2023,23:00:00,power
MSM,UP,"1,2,3,4,5,6,7,8",7/19/2024,0:00:00,8/15/2024,23:00:00,
MSM,TR,"1,2,3,4,5,6,7,8",7/19/2024,0:00:00,8/15/2024,23:00:00,
MSM,UP,"4,5,6",7/10/2024,0:00:00,7/12/2024,23:00:00,
MSM,UP,12,7/16/2024,0:00:00,6/8/2025,23:00:00,
MSM,TR,"4,5,6",4/29/2026,0:00:00,4/30/2026,23:00:00,
SWH,UP,"1,2,3,4,5,6,7,8",1/6/2024,0:00:00,2/6/2024,23:00:00,
SWH,TR,"1,2,3,4,5,6,7,8",1/6/2024,0:00:00,2/6/2024,23:00:00,
SWH,UP,"1,2,3",9/10/2024,0:00:00,10/24/2024,23:00:00,
SWH,TR,"1,2,3",9/10/2024,0:00:00,10/24/2024,23:00:00,
SWH,UP,"7,8,9",10/7/2024,0:00:00,10/24/2024,23:00:00,
SWH,Swamp,"4,5,6",12/5/2025,0:00:00,5/22/2025,23:00:00,
SWH,TR,"7,8,9",4/6/2025,0:00:00,7/22/2025,23:00:00,
SWH,TR,12,11/5/2026,0:00:00,12/5/2026,23:00:00,
