Site, Plot,Sapflux_ID,Tree_ID,spp,Grid_Square,Logger,Port,PakBus,Installation_Date,Last_Checked,Status,Pending_Action,Notes
OWC,TR,OWC-TR-01,128,ND,,COMPASS_OWC_TR,1,322,3/10/2022,10-Mar-26,Active,,
OWC,TR,OWC-TR-02,120,ND,,COMPASS_OWC_TR,2,322,3/10/2022,10-Mar-26,Active,,
OWC,TR,OWC-TR-03,121,ND,,COMPASS_OWC_TR,3,322,3/10/2022,10-Mar-26,Active,,
OWC,TR,OWC-TR-04,123,ND,,COMPASS_OWC_TR,4,322,3/10/2022,10-Mar-26,Active,,
OWC,TR,OWC-TR-05,122,ND,,COMPASS_OWC_TR,5,322,3/10/2022,10-Mar-26,Active,,
OWC,TR,OWC-TR-06,124,ND,,COMPASS_OWC_TR,6,322,3/10/2022,10-Mar-26,Inactive,,
OWC,TR,OWC-TR-07,126,ND,,COMPASS_OWC_TR,7,322,3/10/2022,10-Mar-26,Active,,
OWC,TR,OWC-TR-08,127,ND,,COMPASS_OWC_TR,8,322,3/10/2022,10-Mar-26,Inactive,,
OWC,UP,OWC-UP-01,101,ND,,COMPASS_OWC_UP,1,323,3/10/2022,10-Mar-26,Inactive,,
OWC,UP,OWC-UP-02,102,ND,,COMPASS_OWC_UP,2,323,3/10/2022,10-Mar-26,Inactive,,
OWC,UP,OWC-UP-03,103,ND,,COMPASS_OWC_UP,3,323,3/10/2022,10-Mar-26,Inactive,,
OWC,UP,OWC-UP-04,104,ND,,COMPASS_OWC_UP,4,323,3/10/2022,10-Mar-26,Inactive,,
OWC,UP,OWC-UP-05,105,ND,,COMPASS_OWC_UP,5,323,3/10/2022,10-Mar-26,Inactive,,Tag hidden next to sapflow cage
OWC,UP,OWC-UP-06,106,ND,,COMPASS_OWC_UP,6,323,3/10/2022,10-Mar-26,Inactive,,
OWC,UP,OWC-UP-07,107,ND,,COMPASS_OWC_UP,7,323,3/10/2022,10-Mar-26,Inactive,,
OWC,UP,OWC-UP-08,108,ND,,COMPASS_OWC_UP,8,323,3/10/2022,10-Mar-26,Inactive,,Sticker label falling off
CRC,UP,CRC-UP-01,301,QUBI,,COMPASS_CRC_UP,1,303,3/10/2022,10-Mar-26,Inactive,,
CRC,UP,CRC-UP-02,302,QUAL,,COMPASS_CRC_UP,2,303,3/10/2022,10-Mar-26,Inactive,,
CRC,UP,CRC-UP-03,303,ND,,COMPASS_CRC_UP,3,303,3/10/2022,10-Mar-26,Inactive,,
CRC,UP,CRC-UP-04,304,QUAL,,COMPASS_CRC_UP,4,303,3/10/2022,10-Mar-26,Inactive,,
CRC,UP,CRC-UP-05,305,QUBI,,COMPASS_CRC_UP,5,303,3/10/2022,10-Mar-26,Inactive,,
CRC,UP,CRC-UP-06,306,QUAL,,COMPASS_CRC_UP,6,303,3/10/2022,10-Mar-26,Inactive,,
CRC,UP,CRC-UP-07,307,QUAL,,COMPASS_CRC_UP,7,303,3/10/2022,10-Mar-26,Inactive,,
CRC,UP,CRC-UP-08,308,QUAL,,COMPASS_CRC_UP,8,303,3/10/2022,10-Mar-26,Inactive,,
CRC,UP,CRC-UP-09,,ND,,,9,303,,10-Mar-26,Inactive,,
CRC,UP,CRC-UP-10,,ND,,,10,303,,10-Mar-26,Inactive,,
CRC,UP,CRC-UP-11,,ND,,,11,303,,10-Mar-26,Inactive,,
CRC,UP,CRC-UP-12,,ND,,,12,303,,10-Mar-26,Inactive,,
CRC,UP,CRC-UP-D-01,301,QUBI,,COMPASS_CRC_UP,9,303,3/10/2022,10-Mar-26,Inactive,,
CRC,UP,CRC-UP-D-02,302,QUAL,,COMPASS_CRC_UP,10,303,3/10/2022,10-Mar-26,Inactive,,
CRC,UP,CRC-UP-D-06,306,QUAL,,COMPASS_CRC_UP,11,303,3/10/2022,10-Mar-26,Inactive,,
CRC,UP,CRC-UP-D-08,308,QUAL,,COMPASS_CRC_UP,12,303,3/10/2022,10-Mar-26,Inactive,,
CRC,TR,CRC-TR-01,309,QUBI,,COMPASS_CRC_TR,1,302,3/10/2022,10-Mar-26,Inactive,,
