Site, Plot,Sapflux_ID,Tree_ID,spp,Grid_Square,Logger,Port,PakBus,Installation_Date,Last_Checked,Status,Pending_Action,Notes
CRC,TR,CRC-TR-327,327,ND,,COMPASS_CRC_TR,2,302,9/2/2022,10-Mar-26,Inactive,,replaced with 310 that was already died during installation - same port 2
CRC,TR,CRC-TR-03,311,QUBI,,COMPASS_CRC_TR,3,302,3/10/2022,10-Mar-26,Inactive,,
CRC,TR,CRC-TR-04,312,QUBI,,COMPASS_CRC_TR,4,302,3/10/2022,10-Mar-26,Inactive,,
CRC,TR,CRC-TR-05,313,QUBI,,COMPASS_CRC_TR,5,302,3/10/2022,10-Mar-26,Inactive,,
CRC,TR,CRC-TR-06,314,QUBI,,COMPASS_CRC_TR,6,302,3/10/2022,10-Mar-26,Inactive,,
CRC,TR,CRC-TR-07,315,QUBI,,COMPASS_CRC_TR,7,302,3/10/2022,10-Mar-26,Inactive,,
CRC,TR,CRC-TR-08,316,QUBI,,COMPASS_CRC_TR,8,302,3/10/2022,10-Mar-26,Inactive,,
CRC,TR,CRC-TR-D-01,309,QUBI,,COMPASS_CRC_TR,9,302,3/10/2022,10-Mar-26,Inactive,,
CRC,TR,CRC-TR-D-327,327,ND,,COMPASS_CRC_TR,10,302,8/15/2022,10-Mar-26,Inactive,,replaced with 310 that was already died during installation - same port 2
CRC,TR,CRC-TR-D-03,311,QUBI,,COMPASS_CRC_TR,11,302,3/10/2022,10-Mar-26,Inactive,,
CRC,TR,CRC-TR-D-04,312,QUBI,,COMPASS_CRC_TR,12,302,3/10/2022,10-Mar-26,Inactive,,
PTR,UP,PTR-UP-01,1,CALA21,,COMPASS_PTR_UP,1,313,3/10/2022,10-Mar-26,Inactive,,
PTR,UP,PTR-UP-02,2,CALA21,,COMPASS_PTR_UP,2,313,7/18/2022,10-Mar-26,Inactive,,"Chewed cable, replaced 06/16/22"
PTR,UP,PTR-UP-03,3,CALA21,,COMPASS_PTR_UP,3,313,3/10/2022,10-Mar-26,Inactive,,
PTR,UP,PTR-UP-04,4,CALA21,,COMPASS_PTR_UP,4,313,3/10/2022,10-Mar-26,Inactive,,
PTR,UP,PTR-UP-05,5,CAOV2,,COMPASS_PTR_UP,5,313,3/10/2022,10-Mar-26,Inactive,,
PTR,UP,PTR-UP-06,6,CALA21,,COMPASS_PTR_UP,6,313,3/10/2022,10-Mar-26,Active,,
PTR,UP,PTR-UP-07,7,CAOV2,,COMPASS_PTR_UP,7,313,3/10/2022,10-Mar-26,Active,,
PTR,UP,PTR-UP-08,550,CALA21,,COMPASS_PTR_UP,8,313,3/10/2022,10-Mar-26,Inactive,,
PTR,UP,PTR-UP-01D,1,CALA21,,COMPASS_PTR_UP,9,313,3/10/2022,10-Mar-26,Active,,
PTR,UP,PTR-UP-02D,2,CALA21,,COMPASS_PTR_UP,10,313,3/10/2022,10-Mar-26,Inactive,,
PTR,UP,PTR-UP-03D,3,CALA21,,COMPASS_PTR_UP,11,313,3/10/2022,10-Mar-26,Inactive,,
PTR,UP,PTR-UP-08D,550,CALA21,,COMPASS_PTR_UP,12,313,3/10/2022,10-Mar-26,Inactive,,
PTR,TR,PTR-TR-01,556,CALA21,,COMPASS_PTR_TR,1,312,3/10/2022,10-Mar-26,Inactive,,
PTR,TR,PTR-TR-02,555,CALA21,,COMPASS_PTR_TR,2,312,3/10/2022,10-Mar-26,Inactive,,
PTR,TR,PTR-TR-03,554,CAOV2,,COMPASS_PTR_TR,3,312,3/10/2022,10-Mar-26,Inactive,,
PTR,TR,PTR-TR-04,553,CALA21,,COMPASS_PTR_TR,4,312,3/10/2022,10-Mar-26,Inactive,,
PTR,TR,PTR-TR-05,552,CALA21,,COMPASS_PTR_TR,5,312,3/10/2022,10-Mar-26,Inactive,,
PTR,TR,PTR-TR-06,12,CALA21,,COMPASS_PTR_TR,6,312,3/10/2022,10-Mar-26,Inactive,,
PTR,TR,PTR-TR-07,551,CALA21,,COMPASS_PTR_TR,7,312,3/10/2022,10-Mar-26,Inactive,,
PTR,TR,PTR-TR-08,557,CAOV2,,COMPASS_PTR_TR,8,312,3/10/2022,10-Mar-26,Inactive,,
PTR,TR,PTR-TR-01D,556,CALA21,,COMPASS_PTR_TR,9,312,3/10/2022,10-Mar-26,Inactive,,
PTR,TR,PTR-TR-05D,552,CALA21,,COMPASS_PTR_TR,10,312,3/10/2022,10-Mar-26,Inactive,,
PTR,TR,PTR-TR-02D,555,CALA21,,COMPASS_PTR_TR,11,312,3/10/2022,10-Mar-26,Inactive,,
PTR,TR,PTR-TR-07D,551,CALA21,,COMPASS_PTR_TR,12,312,3/10/2022,10-Mar-26,Inactive,,
GWI,TR,GWI-TR-01,786,PITA,,412,1,412,4/13/2022,4-Mar-26,Active,,
GWI,TR,GWI-TR-02,782,PITA,,412,2,412,4/13/2022,4-Mar-26,Active,,
GWI,TR,GWI-TR-03,777,PITA,,412,3,412,4/13/2022,4-Mar-26,Active,,
GWI,TR,GWI-TR-04,766,PITA,,412,4,412,4/13/2022,4-Mar-26,Active,,
GWI,TR,GWI-TR-05,162,PITA,,412,5,412,4/13/2022,4-Mar-26,Active,,Out of plot
GWI,TR,GWI-TR-06,163,PITA,,412,6,412,4/13/2022,4-Mar-26,Active,,Out of plot
GWI,TR,GWI-TR-07,164,PITA,,412,7,412,4/13/2022,4-Mar-26,Active,,Out of plot
GWI,TR,GWI-TR-08,789,PITA,,412,8,412,4/13/2022,4-Mar-26,Active,,
GWI,UP,GWI-UP-01,622,PITA,,413,1,413,4/13/2022,4-Mar-26,Active,,
GWI,UP,GWI-UP-02,642,PITA,,413,2,413,4/13/2022,4-Mar-26,Active,,
GWI,UP,GWI-UP-03,633,PITA,,413,3,413,4/13/2022,4-Mar-26,Active,,
GWI,UP,GWI-UP-04,682,PITA,,413,4,413,4/13/2022,4-Mar-26,Active,,
GWI,UP,GWI-UP-05,683,PITA,,413,5,413,4/13/2022,4-Mar-26,Active,,
GWI,UP,GWI-UP-06,678,PITA,,413,6,413,4/13/2022,4-Mar-26,Active,,
GWI,UP,GWI-UP-07,650,PITA,,413,7,413,4/13/2022,4-Mar-26,Active,,
GWI,UP,GWI-UP-08,647,PITA,,413,8,413,4/13/2022,4-Mar-26,Active,,
MSM,TR,MSM-TR-01,410,PITA,,402,1,402,4/11/2022,4-Mar-26,Active,,
MSM,TR,MSM-TR-02,411,PITA,,402,2,402,4/11/2022,4-Mar-26,Active,,
MSM,TR,MSM-TR-03,416,PITA,,402,3,402,4/11/2022,4-Mar-26,Active,,
MSM,TR,MSM-TR-04,413,PITA,,402,4,402,4/11/2022,4-Mar-26,Active,,
MSM,TR,MSM-TR-05,414,PITA,,402,5,402,4/11/2022,4-Mar-26,Active,,
MSM,TR,MSM-TR-06,412,PITA,,402,6,402,4/11/2022,4-Mar-26,Active,,
MSM,TR,MSM-TR-07,415,PITA,,402,7,402,4/11/2022,4-Mar-26,Active,,
MSM,TR,MSM-TR-08,409,PITA,,402,8,402,4/11/2022,4-Mar-26,Active,,
MSM,TR,MSM-TR-03-D,416,PITA,,402,9,402,4/11/2022,4-Mar-26,Active,,
MSM,TR,MSM-TR-04-D,413,PITA,,402,10,402,4/11/2022,4-Mar-26,Active,,
MSM,TR,MSM-TR-05-D,414,PITA,,402,11,402,4/11/2022,4-Mar-26,Active,,
MSM,TR,MSM-TR-07-D,415,PITA,,402,12,402,4/11/2022,4-Mar-26,Disconnected ,,removed
MSM,UP,MSM-UP-01,401,PITA,,403,1,403,4/11/2022,4-Mar-26,Active,,
MSM,UP,MSM-UP-02,402,PITA,,403,2,403,4/11/2022,4-Mar-26,Active,,
MSM,UP,MSM-UP-03,403,PITA,,403,3,403,4/11/2022,4-Mar-26,Active,,
MSM,UP,MSM-UP-04,404,PITA,,403,4,403,4/11/2022,4-Mar-26,Active,,
MSM,UP,MSM-UP-05,405,PITA,,403,5,403,4/11/2022,4-Mar-26,Active,,
MSM,UP,MSM-UP-06,406,PITA,,403,6,403,4/11/2022,4-Mar-26,Active,,
MSM,UP,MSM-UP-07,407,PITA,,403,7,403,4/11/2022,4-Mar-26,Active,,
MSM,UP,MSM-UP-08,408,PITA,,403,8,403,4/11/2022,4-Mar-26,Active,,
MSM,UP,MSM-UP-01-D,401,PITA,,403,9,403,4/11/2022,4-Mar-26,Active,,
MSM,UP,MSM-UP-02-D,402,PITA,,403,10,403,4/11/2022,4-Mar-26,Active,,
MSM,UP,MSM-UP-03-D,403,PITA,,403,11,403,4/11/2022,4-Mar-26,Active,,
MSM,UP,MSM-UP-04-D,404,PITA,,403,12,403,4/11/2022,4-Mar-26,Active,,
GCW,TR,GCW-TR-C7,1439,ND,,11,1,41,3/19/2021,4-Mar-26,Active,,
GCW,TR,GCW-TR-C9,1456,ND,,12,3,42,3/17/2021,4-Mar-26,Active,,
GCW,TR,GCW-TR-C10,1387,ND,,11,3,41,3/17/2021,4-Mar-26,Active,,
GCW,TR,GCW-TR-C11,1395,ND,,11,4,41,3/17/2021,4-Mar-26,Active,,
GCW,TR,GCW-TR-C12,1328,ND,,13,5,43,,4-Mar-26,Active,,
GCW,TR,GCW-TR-C19,1451,ND,,11,2,41,6/3/2022,4-Mar-26,Active,,
GCW,TR,GCW-TR-01,968,ACRU,,432,1,50,3/19/2021,4-Mar-26,Active,,
GCW,TR,GCW-TR-02,719,ACRU,,432,2,50,7/22/2021,4-Mar-26,Active,,
GCW,TR,GCW-TR-03,718,ACRU,,432,3,50,,4-Mar-26,Active,,
GCW,TR,GCW-TR-04,934,ACRU,,432,4,50,,4-Mar-26,Active,,
GCW,TR,GCW-TR-05,902,ACRU,,432,5,50,,4-Mar-26,Active,,
GCW,TR,GCW-TR-06,913,ACRU,,432,6,50,7/20/2021,4-Mar-26,Active,,
SWH,SWMP,SWH-SWH-01,538,ACRU,,,1,,3/29/2023,4-Mar-26,Active,,logged as UP. I replaced with SWH
SWH,SWMP,SWH-SWH-02,526,ACRU,,,2,,3/29/2023,4-Mar-26,Active,,logged as UP. I replaced with SWH
SWH,SWMP,SWH-SWH-03,548,ACRU,,,3,,3/29/2023,4-Mar-26,Active,,logged as UP. I replaced with SWH
SWH,SWMP,SWH-SWH-04,547,ACRU,,,4,,3/29/2023,4-Mar-26,Active,,logged as UP. I replaced with SWH
SWH,SWMP,SWH-SWH-05,546,ACRU,,,5,,3/29/2023,4-Mar-26,Active,,logged as UP. I replaced with SWH
SWH,SWMP,SWH-SWH-06,544,ACRU,,,6,,3/29/2023,4-Mar-26,Active,,logged as UP. I replaced with SWH
SWH,SWMP,SWH-SWH-07,545,ACRU,,,7,,3/29/2023,4-Mar-26,Active,,logged as UP. I replaced with SWH
SWH,SWMP,SWH-SWH-08,542,ACRU,,,8,,3/29/2023,4-Mar-26,Active,,logged as UP. I replaced with SWH
SWH,SWMP,SWH-SWH-01D,526,ACRU,,,9,,3/29/2023,4-Mar-26,Active,,logged as UP. I replaced with SWH
SWH,SWMP,SWH-SWH-02D,548,ACRU,,,10,,3/29/2023,4-Mar-26,Active,,logged as UP. I replaced with SWH -maybe tag issue here
SWH,SWMP,SWH-SWH-03D,548,ACRU,,,11,,3/29/2023,4-Mar-26,Active,,logged as UP. I replaced with SWH -maybe tag issue here
SWH,SWMP,SWH-SWH-08D,542,ACRU,,,12,,3/29/2023,4-Mar-26,Active,,logged as UP. I replaced with SWH
SWH,TR,SWH-TR-01,625,ACRU,,,1,,3/28/2023,4-Mar-26,Active,,
SWH,TR,SWH-TR-02,645,ACRU,,,2,,3/28/2023,4-Mar-26,Active,,
SWH,TR,SWH-TR-03,613,ACRU,,,3,,3/28/2023,4-Mar-26,Active,,
SWH,TR,SWH-TR-04,602,ACRU,,,4,,3/28/2023,4-Mar-26,Active,,
SWH,TR,SWH-TR-05,654,ACRU,,,5,,3/28/2023,4-Mar-26,Active,,
SWH,TR,SWH-TR-06,655,ACRU,,,6,,3/28/2023,4-Mar-26,Active,,
SWH,TR,SWH-TR-07,652,ACRU,,,7,,3/28/2023,4-Mar-26,Active,,
SWH,TR,SWH-TR-08,653,ACRU,,,8,,3/28/2023,4-Mar-26,Active,,
SWH,TR,SWH-TR-01D,625,ACRU,,,9,,3/28/2023,4-Mar-26,Active,,
SWH,TR,SWH-TR-02D,645,ACRU,,,10,,3/28/2023,4-Mar-26,Active,,
SWH,TR,SWH-TR-04D,602,ACRU,,,11,,3/28/2023,4-Mar-26,Active,,
SWH,TR,SWH-TR-07D,652,ACRU,,,12,,3/28/2023,4-Mar-26,Active,,
